repo_name,issue_number,title,state,created_at,closed_at,comments,labels,author
langchain-ai/langchain,38654,"`_parse_google_docstring` leaks non-`Args` sections (`Raises:`, `Note:`, ...) into tool descriptions",closed,2026-07-04T03:53:32Z,2026-07-04T03:53:43Z,1,external,rogerdemello
langchain-ai/langchain,38651,:Feature: Support Anthropic mid-conversation system messages (MidConversationSystemBlockParam / role:system in messages) in ChatAnthropic,open,2026-07-04T02:39:18Z,,1,"feature request, anthropic, external",Lambdua
langchain-ai/langchain,38648,ChatFireworks._combine_llm_outputs raises TypeError on nested token_usage dicts (prompt_tokens_details) in batched generate(),open,2026-07-03T19:02:26Z,,1,"bug, fireworks, external",abcgco
langchain-ai/langchain,38645,ChatFireworks._combine_llm_outputs raises TypeError on nested token_usage dicts (prompt_tokens_details) in batched generate(),closed,2026-07-03T14:44:08Z,2026-07-03T14:44:20Z,3,external,abcgco
langchain-ai/langchain,38644,ChatAnthropic.bind_tools() crashes with KeyError: 'parameters' on advisor_ built-in tool,open,2026-07-03T12:16:49Z,,3,"bug, anthropic, external",corsettigyg
langchain-ai/langchain,38643,ChatAnthropic.bind_tools() crashes with KeyError: 'parameters' on advisor_ built-in tool,closed,2026-07-03T11:59:23Z,2026-07-03T11:59:36Z,1,external,corsettigyg
langchain-ai/langchain,38639,"ChatAnthropic streaming drops thinking field from empty thinking blocks (signature_delta-only), replay fails with 400 thinking.thinking: Field required",open,2026-07-03T10:55:08Z,,3,"bug, anthropic, external",Seo-yul
langchain-ai/langchain,38638,"ChatAnthropic streaming drops `thinking` field from empty thinking blocks (signature_delta-only), replay fails with 400 `thinking.thinking: Field required`",closed,2026-07-03T10:38:31Z,2026-07-03T10:38:41Z,1,"anthropic, external",Seo-yul
langchain-ai/langchain,38637,HuggingFaceEndpointEmbeddings missing bill_to / additional_headers parameter,open,2026-07-03T09:01:30Z,,3,"bug, huggingface, external",zurfjereluhmie
langchain-ai/langchain,38630,Eval dataset for agents,closed,2026-07-02T23:48:36Z,2026-07-02T23:48:46Z,1,external,connerlambden
langchain-ai/langchain,38629,MultiQueryRetriever.unique_union() crashes on list/dict metadata,closed,2026-07-02T20:30:31Z,2026-07-02T20:49:45Z,3,"bug, langchain, external",axiom-of-choice
langchain-ai/langchain,38627,Bug: EnsembleRetriever silently overwrites metadata when documents share page_content,closed,2026-07-02T20:16:36Z,2026-07-02T20:16:47Z,1,external,axiom-of-choice
langchain-ai/langchain,38626,Bug: MultiQueryRetriever.unique_union() crashes on documents with list/dict metadata,closed,2026-07-02T20:16:20Z,2026-07-02T20:16:34Z,1,external,axiom-of-choice
langchain-ai/langchain,38612,Realistic Firefox option for PlayWrightBrowserToolkit agents,closed,2026-07-02T12:37:10Z,2026-07-02T12:37:22Z,1,external,feder-cr
langchain-ai/langchain,38610,[Bug]: ChatOpenRouter leaks httpx.AsyncClient instances causing Ephemeral Port Exhaustion,open,2026-07-02T11:28:25Z,,3,"bug, external, openrouter",QiuYucheng2003
langchain-ai/langchain,38605,Building AI-Automated Vulnerability Discovery Pipeline with Multi-LLM Orchestration - Real Case Study,closed,2026-07-02T03:21:54Z,2026-07-02T03:22:06Z,1,external,Exploit-Garbage
langchain-ai/langchain,38603,Docstring inconsistency in BaseChatMessageHistory.add_message Raises section,open,2026-07-02T02:37:57Z,,4,"bug, core, external",Traving-Yu
langchain-ai/langchain,38601,merge_content mutates its first argument (chunk_a + chunk_b corrupts chunk_a),closed,2026-07-01T19:19:00Z,2026-07-01T19:19:11Z,1,external,Vedant-Agarwal
langchain-ai/langchain,38589,[Feature]: Add Static Analyzer to detect Cross-Modal Leaks in Custom Tools (Defense-in-Depth),open,2026-07-01T15:46:16Z,,4,"core, feature request, external",ashp15205
langchain-ai/langchain,38580,core: convert_to_openai_messages escapes non-ASCII in json content blocks (inconsistent with tool_use path),closed,2026-06-30T22:45:54Z,2026-06-30T22:46:04Z,2,"core, external",HumphreySun98
langchain-ai/langchain,38572,Uzbek low-resource RAG evaluation,open,2026-06-30T10:37:12Z,,2,"langchain, feature request, chroma, huggingface, external",rajantripathi
langchain-ai/langchain,38565,Cookbook proposal: Uzbek low-resource RAG evaluation,closed,2026-06-30T05:18:18Z,2026-06-30T05:18:30Z,1,external,rajantripathi
langchain-ai/langchain,38561,with_structured_output is not supported when reasoning effort is used,open,2026-06-30T03:54:42Z,,6,"bug, langchain, openai, external",spewwerrier
langchain-ai/langchain,38560,Docs: missing `await` in `asimilarity_search` docstring examples in InMemoryVectorStore and Chroma,closed,2026-06-30T02:34:57Z,2026-06-30T02:35:06Z,2,external,RavSinghChandan
langchain-ai/langchain,38557,`extract_sub_links` scope escape: `prevent_outside` matches sibling paths (`/docs` matches `/docsite`),closed,2026-06-30T00:23:40Z,2026-06-30T00:23:54Z,2,"core, external",abhay-codes07
langchain-ai/langchain,38555,"Mustache list sections silently drop falsy items (`0`, `False`, `""""`)",closed,2026-06-29T23:59:55Z,2026-06-30T00:00:06Z,2,"core, external",abhay-codes07
langchain-ai/langchain,38550,Deprecated classic chat agents leak empty ValueError on save,closed,2026-06-29T17:07:32Z,2026-06-29T17:07:45Z,1,external,onyx679
langchain-ai/langchain,38549,Filesystem file search rejects valid path segments containing double dots,open,2026-06-29T15:49:23Z,,7,"bug, langchain, external",onyx679
langchain-ai/langchain,38548,Filesystem file search rejects valid path segments containing double dots,closed,2026-06-29T15:37:09Z,2026-06-29T15:37:22Z,1,"langchain, external",onyx679
langchain-ai/langchain,38544,`ProviderToolSearchMiddleware` defers tools as flat top-level functions instead of wrapping them in a `namespace` — no token savings,open,2026-06-29T13:04:41Z,,5,"bug, langchain, openai, external",oleg-savko
langchain-ai/langchain,38540,`ProviderToolSearchMiddleware` defers tools as flat top-level functions instead of wrapping them in a `namespace` — no token savings,closed,2026-06-29T13:00:17Z,2026-06-29T13:00:31Z,1,external,oleg-savko
langchain-ai/langchain,38536,"Stale docstring parameters in langchain-core (_write, set_text)",closed,2026-06-29T12:08:05Z,2026-06-29T12:08:17Z,1,"core, external",eeshsaxena
langchain-ai/langchain,38530,InMemoryCache evicts unrelated entries when updating an existing key,closed,2026-06-29T09:01:31Z,2026-06-29T09:01:46Z,1,external,onyx679
langchain-ai/langchain,38529,InMemoryCache evicts unrelated entries when updating an existing key,closed,2026-06-29T08:59:05Z,2026-06-29T08:59:19Z,1,external,onyx679
langchain-ai/langchain,38521,Cross-platform collaboration: AgentPub <-> langchain,closed,2026-06-29T04:50:37Z,2026-06-29T04:50:48Z,1,external,liboy119
langchain-ai/langchain,38509,Cross-platform collaboration: AgentPub <-> langchain,closed,2026-06-28T11:00:50Z,2026-06-28T11:01:03Z,1,external,liboy119
langchain-ai/langchain,38508,Cross-platform collaboration: AgentPub <-> langchain,closed,2026-06-28T06:20:24Z,2026-06-28T06:20:45Z,1,external,liboy119
langchain-ai/langchain,38506,bug: [chroma] similarity_search_by_vector_with_relevance_scores returns raw distances instead of normalized scores,open,2026-06-27T15:29:27Z,,7,"bug, chroma, external",rautaditya2606
langchain-ai/langchain,38504,bug: Legacy Qdrant vector store returns raw distances instead of normalized relevance scores,open,2026-06-27T15:09:32Z,,2,"bug, qdrant, external",rautaditya2606
langchain-ai/langchain,38493,Feature: Add IndicTextLoader for Indian language documents,closed,2026-06-26T23:26:23Z,2026-06-26T23:26:33Z,1,"feature request, external",AyushSahu-OpenSrc
langchain-ai/langchain,38486,Feature Request: TEE Attestation Support for Agent Deployments,closed,2026-06-26T12:55:44Z,2026-06-26T12:55:58Z,3,"langchain, external",kawacukennedy
langchain-ai/langchain,38485,Discussion: TEE Attestation for LangChain Agent Deployments,closed,2026-06-26T12:51:39Z,2026-06-26T12:51:50Z,2,external,kawacukennedy
langchain-ai/langchain,38484,"langchain stream_events v3 final response tokens not streamed in real-time, all arrive at once",open,2026-06-26T12:33:06Z,,7,"bug, langchain, external",hanruiyao163
langchain-ai/langchain,38482,TypeError: unsupported operand type(s) for += on dict in _combine_llm_outputs when making multiple LLM calls,open,2026-06-26T09:20:35Z,,4,"bug, mistralai, external",ffoss
langchain-ai/langchain,38471,## Fix #5819: wrap httpx transport errors as LangGraphError subclasses,closed,2026-06-26T03:29:11Z,2026-06-26T03:29:21Z,1,external,liang-zhenxiang
langchain-ai/langchain,38469,core: `BaseChatModel.agenerate` masks a non-`Exception` `BaseException` with `AttributeError`,open,2026-06-26T02:40:06Z,,5,"bug, langchain, external",danielenricocahall
langchain-ai/langchain,38468,core: `BaseChatModel.agenerate` masks a non-`Exception` `BaseException` with `AttributeError`,closed,2026-06-26T02:25:18Z,2026-06-26T02:25:27Z,1,external,danielenricocahall
langchain-ai/langchain,38465,"Bug: langchain-anthropic file_tool callback never emits args[""old_path""] but _handle_rename reads it -> KeyError on every rename",open,2026-06-26T01:48:59Z,,4,"bug, anthropic, external",Fr3ya
langchain-ai/langchain,38457,bug(core): merge_lists skips tool_call merge when index is string digit vs int,closed,2026-06-25T13:24:13Z,2026-06-25T13:24:24Z,5,"core, external",Harsh23Kashyap
langchain-ai/langchain,38456,bug(core): merge_lists skips tool_call merge when index is string digit vs int,closed,2026-06-25T13:24:07Z,2026-06-25T13:24:19Z,1,"core, external",Harsh23Kashyap
langchain-ai/langchain,38455,merge_dicts coerces conflicting bool metadata values to integer sums,closed,2026-06-25T11:05:28Z,2026-06-25T11:05:42Z,1,"core, external",Harsh23Kashyap
langchain-ai/langchain,38453,merge_dicts coerces conflicting bool metadata values to integer sums,closed,2026-06-25T11:02:32Z,2026-06-25T11:02:43Z,4,"core, external",Harsh23Kashyap
langchain-ai/langchain,38440,bug(core): cache implementing `__len__` makes `generate`/`agenerate` raise `KeyError`,open,2026-06-24T22:20:39Z,,10,"bug, core, external",AliMuhammadAslam
langchain-ai/langchain,38439,"bug(core): `aupdate_cache` skips writes for caches implementing `__len__`, diverging from `update_cache`",closed,2026-06-24T22:08:09Z,2026-06-24T22:08:20Z,1,"core, external",AliMuhammadAslam
langchain-ai/langchain,38437,LangChain release process,closed,2026-06-24T18:36:12Z,2026-06-24T18:39:02Z,0,internal,mdrxy
langchain-ai/langchain,38404,"HTMLSemanticPreservingSplitter reorders inline text around tags (e.g. <strong>, <a>, etc.)",open,2026-06-24T13:39:01Z,,5,"bug, text-splitters, external",evisser
langchain-ai/langchain,38398,langchain-anthropic: `cache_control` on a `tool_use` content block is silently dropped when a matching `tool_calls` item exists,open,2026-06-24T09:32:40Z,,8,"bug, anthropic, external",menezesandre
langchain-ai/langchain,38391,Feature request: Profile-aware prompt router with ML-backed routing and ensemble fallback,open,2026-06-24T01:22:42Z,,3,"langchain, feature request, external",zavera
langchain-ai/langchain,38390,Feature request: Profile-aware prompt router with ML-backed routing and ensemble fallback,closed,2026-06-24T01:15:09Z,2026-06-24T01:15:20Z,1,external,zavera
langchain-ai/langchain,38388,Fireworks forwards unsupported file content blocks,closed,2026-06-23T19:08:19Z,2026-06-29T21:06:48Z,2,internal,mdrxy
langchain-ai/langchain,38384,ChatMistralAI incompatible token output format for LangSmith traceability,open,2026-06-23T16:16:51Z,,8,"bug, mistralai, external",henriquejsb
langchain-ai/langchain,38374,Performance: lazy-load transformers on BaseChatModel import to improve startup time,closed,2026-06-22T22:21:10Z,2026-06-22T22:21:20Z,1,external,gmrnlg1971
langchain-ai/langchain,38366,"[Bug] merge_dicts concatenates identical string metadata fields across streaming chunks (model_name, finish_reason doubled)",closed,2026-06-22T16:52:38Z,2026-06-30T16:37:16Z,11,"bug, core, external",codeonym
langchain-ai/langchain,38362,Add Xquik tool pattern for public X data workflows,open,2026-06-22T12:04:44Z,,1,"feature request, external",kriptoburak
langchain-ai/langchain,38361,Add Xquik tool integration for public X data workflows,closed,2026-06-22T11:06:46Z,2026-06-22T11:07:00Z,1,external,kriptoburak
ollama/ollama,17029,ollama launch: option to disable the alternate screen buffer so terminal scrollback/history is preserved,open,2026-07-04T05:59:59Z,,0,,dpc00
ollama/ollama,17028,LLaVA-OneVision-2 Model Request,open,2026-07-04T05:58:56Z,,0,,TheElderWyrm
ollama/ollama,17026,"cuda_v13: long grammar-constrained (`format`) generation crashes with ""CUDA error: unspecified launch failure"" → Xid 79 (GPU falls off the bus); same requests fine on cuda_v12",open,2026-07-04T03:14:49Z,,0,,LaughingKuma
ollama/ollama,17024,No memory error with Qwen3-coder:30b,open,2026-07-04T01:22:43Z,,0,bug,alemata2006
ollama/ollama,17019,create: Qwen MLX safetensors import preserves MTP tensors and corrupts output,open,2026-07-03T13:29:20Z,,1,,pd95
ollama/ollama,17018,Vulkan Multi-GPU Allocation Anomaly,open,2026-07-03T11:31:21Z,,0,bug,Home-RAG
ollama/ollama,17016,dspark option,open,2026-07-03T03:55:29Z,,1,feature request,iplayfast
ollama/ollama,17015,Users cannot see the ThinkButton in ollama app.,closed,2026-07-03T02:16:59Z,2026-07-03T06:09:13Z,0,bug,jackjiao6
ollama/ollama,17014,Open benchmark datasets for local model testing,closed,2026-07-02T23:48:55Z,2026-07-03T01:53:50Z,0,,connerlambden
ollama/ollama,17013,MLX engine silently ignores `format` (structured outputs) — same request enforced on GGUF variant of the same model,closed,2026-07-02T22:33:34Z,2026-07-02T22:42:25Z,0,,ryandmonk
ollama/ollama,17012,"Windows: llama-server.exe crashes with 0xc0000409 (ucrtbase.dll) / CUDA error ""PTX was compiled with an unsupported toolchain""",closed,2026-07-02T22:30:25Z,2026-07-03T16:49:41Z,1,bug,treasureboxnoreply-ops
ollama/ollama,17011,nemotron became stupid,open,2026-07-02T22:15:30Z,,6,"bug, needs more info",john79nl
ollama/ollama,17006,Segmentation fault on VMware ESXi 8.0.3 with Intel Xeon Gold 6526Y (Sapphire Rapids) running Ubuntu 24.04,open,2026-07-02T15:38:50Z,,1,bug,eribertos
ollama/ollama,17004,bug: --keep-alive 0 fails to unload model with concurrent requests on v0.5+,closed,2026-07-02T13:13:50Z,2026-07-03T06:39:57Z,2,,tcconnally
ollama/ollama,17003,MTP Support,open,2026-07-02T12:35:10Z,,1,"bug, needs more info",kris0377
ollama/ollama,17002,Feature Request: Add Sakana AI Fugu to Ollama Cloud,open,2026-07-02T05:14:51Z,,1,"model, cloud",golden6919
ollama/ollama,17001,codex config local model ollama failed,open,2026-07-02T03:12:12Z,,2,bug,isold23
ollama/ollama,16997,Ollama mobile app,closed,2026-07-01T22:49:52Z,2026-07-02T22:29:14Z,5,feature request,Rafael-Silva-Oliveira
ollama/ollama,16995,Mac mlx model pull version mismatch via brew,closed,2026-07-01T20:31:55Z,2026-07-02T22:30:24Z,2,bug,keonik
ollama/ollama,16992,ornith:35b — RENDERER/PARSER emits raw special tokens and unparsed tool-call XML in Claude Code / OpenAI-compat clients,open,2026-07-01T17:07:19Z,,0,bug,ronalddatawonder
ollama/ollama,16990,Can Add KV cache handling to MLX models,closed,2026-07-01T12:04:46Z,2026-07-01T14:23:46Z,2,feature request,createne1
ollama/ollama,16988,API error with maxwell1500/ornith-9b:Q8_0 or rafw007/ornith-claude-coder in Claude Code CLI,open,2026-07-01T09:16:29Z,,5,bug,normancates
ollama/ollama,16987,Community recipe: Persistent memory for Ollama apps via Dakera middleware,closed,2026-07-01T08:40:09Z,2026-07-01T09:32:54Z,1,,ferhimedamine
ollama/ollama,16986,Test,closed,2026-07-01T08:39:25Z,2026-07-01T08:39:26Z,0,,ferhimedamine
ollama/ollama,16985,CUDA Detection issues,open,2026-07-01T05:27:49Z,,3,"bug, needs more info",seedrick
ollama/ollama,16984,Can we add Mlx model to Qwen3.6-35B?,closed,2026-07-01T04:05:06Z,2026-07-01T04:19:01Z,1,feature request,createne1
ollama/ollama,16978,Feature Request: Expose VRAM-Adjusted Runtime Context Window via API,closed,2026-06-30T14:10:07Z,2026-06-30T15:08:40Z,2,feature request,mooleshacat
ollama/ollama,16977,GET /api/tags omits capabilities that /api/show reports — affects tool-using clients across model types,closed,2026-06-30T13:17:06Z,2026-06-30T13:21:35Z,0,,tcconnally
ollama/ollama,16976,Generate endpoint for gemma4:26b in raw mode with thinking: false drops control tokens,open,2026-06-30T13:00:58Z,,0,bug,rlsvarinskis
ollama/ollama,16970,"Core binary has no standalone fallback CUDA discovery, while the external cuda_v12/v13 libraries contain a fatal pointer/instruction regression for Pascal architecture (GTX 1080Ti) under 570+ drivers.",closed,2026-06-30T08:05:36Z,2026-06-30T13:52:12Z,14,bug,luorixiangyang
ollama/ollama,16969,"/api/tags omits ""tools"" capability for deepseek-r1 while /api/show reports it correctly",open,2026-06-30T07:39:06Z,,0,bug,leftor
ollama/ollama,16968,500 Internal Server Error: llama-server startup failed before projector CPU offload retry: llama-server reported out-of-memory during startup: ggml_backend_cpu_buffer_type_alloc_buffer: failed to allocate buffer of size 2390753280 alloc_tensor_range,closed,2026-06-30T06:19:55Z,2026-07-02T04:22:12Z,4,bug,gzqy-hub
ollama/ollama,16959,Feature Request : Add a global setting to disable thinking mode on Desktop App,closed,2026-06-29T13:50:06Z,2026-06-29T14:25:32Z,1,,alexandre-leng
ollama/ollama,16957,"nvidia 1080Ti take 0xc0000005 error, couldn't offload to GPU.",open,2026-06-29T12:00:09Z,,11,bug,luorixiangyang
ollama/ollama,16951,After upgrade to Ollama v0.30.11 it crashes every time,closed,2026-06-28T20:10:03Z,2026-06-29T19:36:11Z,7,"bug, needs more info",FunctionPoint
ollama/ollama,16950,Vision processing issues and performance regression after update to v0.30.11. Gemma4 QAT,open,2026-06-28T11:52:41Z,,1,"bug, needs more info",R3veng3R
ollama/ollama,16946,llama-server core dumps when serving GPT-OSS with OLLAMA_KV_CACHE_TYPE=q8_0,open,2026-06-28T03:01:29Z,,7,"bug, needs more info",gsquarediv
ollama/ollama,16945,"qwen3-vl:8b ignores think=false and /set nothink, streaming never emits content",closed,2026-06-28T02:11:57Z,2026-06-29T16:41:06Z,3,bug,marcelo1damian2prieto
ollama/ollama,16940,"Native RTL Support for Chat UI (Arabic, Persian, Hebrew & Other Right-to-Left Languages)",open,2026-06-27T11:57:47Z,,1,"feature request, app",shrideh
ollama/ollama,16938,Model Request: baidu/Unlimited-OCR,open,2026-06-27T06:53:13Z,,2,model,th1nhhdk
ollama/ollama,16936,"Imported GGUF (hf.co/...) thinks by default, but reports no `thinking` capability and rejects `think: true`",closed,2026-06-27T03:29:26Z,2026-06-27T14:58:21Z,2,,kanghouchao
ollama/ollama,16932,Tool call silently dropped (empty response) when a tool parameter is named `name` - Mistral-format models (devstral-small-2),open,2026-06-26T16:50:04Z,,1,bug,JohnDWorld
ollama/ollama,16930,Proposal: Intel SYCL / oneAPI GPU backend (Arc / Battlemage),open,2026-06-26T14:48:37Z,,0,"feature request, intel",Sjoerd
ollama/ollama,16928,Ollama/Codex (latest) bug,closed,2026-06-26T13:19:46Z,2026-06-26T16:41:51Z,3,bug,sanramballie-ux
ollama/ollama,16926,Model `gemma4:e4b-mlx` does not support images,closed,2026-06-26T09:22:09Z,2026-06-26T09:34:08Z,0,bug,HBLAB-TuanNA2-Trevor
ollama/ollama,16925,RTX PRO 2000 Blackwell ×2，Windows，cuda_v13 list-devices 0xc0000005,closed,2026-06-26T08:48:22Z,2026-06-30T22:11:28Z,7,bug,jinj840111-cloud
ollama/ollama,16923,not able to connect,open,2026-06-26T06:23:04Z,,0,bug,gilbertbodyb28
ollama/ollama,16922,ollama.com Anthropic-compatible /v1/messages endpoint does not accept x-api-key authentication,open,2026-06-26T05:57:59Z,,0,bug,natesilva
ollama/ollama,16917,Switch wifi while downloading a model: pulling manifest  Error: EOF,open,2026-06-25T23:28:14Z,,4,"bug, needs more info",ramioooz
ollama/ollama,16908,"Windows: RTX 3050 Laptop GPU (SM 8.6) is skipped with ""compute capability not in compiled architectures"", causing Vulkan fallback and model load failure",closed,2026-06-25T17:43:30Z,2026-06-25T17:54:35Z,0,bug,Diggu07
ollama/ollama,16905,macos 26 icon,open,2026-06-25T17:09:00Z,,0,feature request,yanhuifair
ollama/ollama,16902,user library: improved tag detection,open,2026-06-25T16:28:03Z,,0,"feature request, ollama.com",rick-github
ollama/ollama,16901,Context shift fails on large num_ctx (74k) with qwen3.6:27b on Windows (RTX 5090),open,2026-06-25T15:18:02Z,,3,bug,Hekas1
ollama/ollama,16900,Requesting Model: Qwen Agent World,open,2026-06-25T14:19:12Z,,6,model,yuisheaven
ollama/ollama,16898,Vim key bindings for CLI,open,2026-06-25T10:02:41Z,,0,"feature request, cli",j-lakeman
ollama/ollama,16897,Very verbose llama-server logging by default since recent update,open,2026-06-25T08:42:08Z,,3,bug,AInteriorB
ollama/ollama,16896,Ollama Desktop context length setting ignored,closed,2026-06-25T07:45:35Z,2026-06-25T08:33:23Z,0,bug,albertdyi
ollama/ollama,16892,glm-ocr infinite loop,open,2026-06-24T17:22:36Z,,4,bug,sherpya
ollama/ollama,16891,ollama create does not inherit model_info from parent model — context_length is lost,open,2026-06-24T17:19:58Z,,1,cloud,kernelplv
ollama/ollama,16890,ollama-cloud /api/chat rejects num_predict > 65536 for deepseek-v4-pro despite published 384K output / 1M context specs,open,2026-06-24T17:17:20Z,,0,cloud,logicminds
ollama/ollama,16889,Suggestion: Improve Windows + HIP/clang build ergonomics,open,2026-06-24T16:46:06Z,,1,"feature request, build",Maxritz
ollama/ollama,16887,Please Support Qwen3-VL-Embedding-8B,closed,2026-06-24T12:39:12Z,2026-06-24T12:50:00Z,1,,Jigit-ship-it
ollama/ollama,16885,"ollama launch <cloud-model> panics with ""flag accessed but not defined: verbose""",closed,2026-06-24T12:04:13Z,2026-06-24T12:38:52Z,6,bug,Pranjal240
